id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21055296,The romantic flat .On the Victoria metro.,47617379,Athens Houses,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99305835581391,23.7293545798967,Entire home/apt,39,3,31,2019-01-01,1.98,5,300
21057863,Bright Architect’s Nest @ the center of Koukaki,4777984,Romanos,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.9666457039631,23.725192443078118,Entire home/apt,49,2,39,2019-01-06,2.40,21,342
21060906,Causy big apartment in Pangrati!,21623894,Emily,,ΠΑΓΚΡΑΤΙ,37.967500355984704,23.752046386913037,Entire home/apt,50,7,0,,,2,0
21060956,A unique “pied a terre” in Athens !,150791358,Yannis,,ΑΜΠΕΛΟΚΗΠΟΙ,37.983276330233316,23.75574113460981,Entire home/apt,30,1,29,2018-08-01,1.74,1,175
21087996,Down town flat in Athens,149829529,Dimitra,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98403937666858,23.738916549685737,Entire home/apt,40,2,48,2019-01-14,2.93,1,338
21090847,Relax in a Modern Flat next to the US Embassy,20104194,Konstantinos,,ΑΜΠΕΛΟΚΗΠΟΙ,37.983880441982826,23.755781252909713,Entire home/apt,60,2,25,2019-01-16,1.54,29,152
21103302,"Athena, at Ace location, Modern apt w/balcony, gym",113548208,Mary,,ΠΑΓΚΡΑΤΙ,37.96984358471571,23.74318845495511,Entire home/apt,70,2,5,2019-01-24,0.46,22,329
21103506,YOUR SWEET HOME IN ATHENS NEXT TO THE TRAM,152167761,George,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95562938290154,23.72320247296219,Entire home/apt,41,3,37,2019-01-14,2.31,1,247
21105646,Akropolis Museum Stylish Apartment,76927335,Ilektra,,ΑΚΡΟΠΟΛΗ,37.96882733195566,23.729647507291347,Entire home/apt,94,2,2,2017-10-29,0.12,1,179
21105710,Deluxe Double Room,151495413,Soktatis,,ΣΤΑΔΙΟ,37.96947175569463,23.742137941497894,Private room,95,1,0,,,3,176
21106510,Deluxe Family Suites,151495413,Soktatis,,ΣΤΑΔΙΟ,37.96954980786058,23.741558186055407,Private room,160,1,0,,,3,95
21106674,Spacious apartment by the Acropolis,94180137,Fotis,,ΚΕΡΑΜΕΙΚΟΣ,37.97978021821384,23.722063377760012,Entire home/apt,29,1,67,2019-01-27,4.03,1,262
21108102,"Andy's Place Athens, a flat that is not flat!",152206626,Andy & Bert,,ΝΙΡΒΑΝΑ,38.009450199076234,23.726733010370424,Entire home/apt,23,10,27,2018-12-11,1.90,1,98
21114204,Chic flat in centre of Athens,152276486,Maggie,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.982656813537545,23.73676527061713,Entire home/apt,30,2,23,2018-09-19,1.62,1,158
21115748,A Gift in the Heart of Monastiraki A,24336038,Elena,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.977398063013744,23.727936898722195,Entire home/apt,50,1,47,2019-01-01,3.11,5,306
21117343,The Circle Inn - MoMa,150729131,The Circle Inn,,ΠΕΤΡΑΛΩΝΑ,37.967805021205706,23.70858746886261,Entire home/apt,69,1,12,2018-09-21,0.72,4,344
21119166,Spacious apt with balcony,107248687,Loic,,ΛΥΚΑΒΗΤΤΟΣ,37.97999352153258,23.741453028431483,Entire home/apt,79,2,0,,,6,0
21122597,Homy home,70477329,Catherine,,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,37.988394346307985,23.714104370845842,Entire home/apt,40,2,18,2018-10-08,1.13,2,180
21125322,Fabulous new luxury apartment in center Athens,149858888,Vasiliki,,ΠΑΓΚΡΑΤΙ,37.96779695280136,23.752928544448114,Entire home/apt,13,1,29,2018-11-04,1.75,1,217
21130953,"Cozy Two-Room Apartment, 45m²",135618041,Nikolaos,,ΣΤΑΔΙΟ,37.967490189772946,23.74356236010282,Entire home/apt,23,1,20,2018-12-03,1.23,1,149
21130981,Acropolis view Athenian Blue apartment at Syntagma,57477992,The Athenians Luxury,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97317101251433,23.73474189112426,Entire home/apt,90,2,3,2018-09-14,0.19,5,134
21131322,Acropolis Museum Apartment,150404874,Adelos,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.968690311838515,23.72991908470675,Entire home/apt,90,1,5,2018-05-08,0.31,4,10
21131931,Acropolis view Athenian Orange apartment@Syntagma,57477992,The Athenians Luxury,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97528057704495,23.734081312684566,Entire home/apt,100,2,2,2018-01-12,0.14,5,101
21132675,Acropolis view Athenian Yellow apartment @Syntagma,57477992,The Athenians Luxury,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97491454022036,23.73356463799391,Entire home/apt,90,2,1,2017-10-14,0.06,5,114
21132802,Academy Central Apartment,150404874,Adelos,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.979123501438224,23.733976134670893,Entire home/apt,90,1,2,2018-11-11,0.45,4,337
21132956,Leonidas loft in the heart of Athens,47038350,Konstantinos,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97827370035322,23.728707989035637,Entire home/apt,89,2,3,2018-05-08,0.19,25,346
21133739,Syntagma square Athenian Green studio,57477992,The Athenians Luxury,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97389040004175,23.733405674895646,Entire home/apt,60,2,4,2018-03-05,0.25,5,0
21138396,New Apartment in  Athens/centre/nice location,152499621,Theodoros,,ΠΑΓΚΡΑΤΙ,37.966918457283676,23.748010943308923,Entire home/apt,35,1,2,2018-08-19,0.30,1,365
21138599,Penthouse 80m+30m balcony and 2 berooms!!,74343759,Stelios & Hara,,ΚΥΨΕΛΗ,37.99994159683951,23.734805999153817,Entire home/apt,23,2,87,2019-01-30,5.32,9,150
21144630,Cozy city apartment,10510179,Maria,,ΠΑΓΚΡΑΤΙ,37.96808031391137,23.75328488984394,Entire home/apt,39,4,1,2018-03-03,0.09,1,129
21153070,Athens Acropolis Penthouse Suite with Terrace,49350719,Yiannis,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.982558602193954,23.730316176994954,Entire home/apt,49,1,14,2018-10-11,0.87,2,287
21157218,ONE ROM,57163666,Moiz,,ΛΥΚΑΒΗΤΤΟΣ,37.98405215755658,23.741493959502932,Private room,15,7,0,,,1,180
21160188,Central Athens near Acropolis 2min Metro 3rd GREEN,39042147,Nestor,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98463389055233,23.724118100881693,Entire home/apt,29,2,70,2019-01-30,4.29,8,323
21168927,Studio - extraordinary view of Acropolis (83600),152809434,Elina,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.973471712492255,23.73270771851893,Entire home/apt,59,2,78,2019-02-04,4.85,1,269
