id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
702070333864574056,Condo in Athina · ★4.25 · 1 bedroom · 1 bed · 1 shared bath,476819054,Chrysanthi,,ΓΚΥΖΗ,37.9933138,23.7485704,Private room,35,2,4,2023-04-08,0.44,2,243,4,
702737970594388012,Serviced apartment in Athina · ★4.0 · 1 bedroom · 1 bed · 1.5 baths,154187716,Vasiliki,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98323111413898,23.736840672791004,Entire home/apt,49,2,4,2023-06-24,0.43,6,360,4,93245678912
702752196916990402,Condo in Athina · ★4.84 · 1 bedroom · 2 beds · 1 bath,4723074,Ilias,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.9866156,23.7195658,Entire home/apt,38,2,19,2023-06-17,2.74,1,321,19,00001756376
702916793449488557,Rental unit in Athina · ★5.0 · 1 bedroom · 1 bed · 1 bath,211300796,Pale Orb I.K.E.,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95516279350859,23.722908777002328,Entire home/apt,53,1,5,2023-06-25,0.85,2,228,5,00001851964
702936863321023168,Serviced apartment in Athina · 1 bedroom · 2 beds · 1 bath,284419217,George,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96908238923113,23.729848419643396,Entire home/apt,285,1,2,2023-02-27,0.28,10,340,2,00002157220
703492627891556770,Condo in Athina · ★4.79 · 1 bedroom · 1 bed · 1 bath,152449611,Athina And/Or Eleni,,ΚΟΛΩΝΑΚΙ,37.97736,23.74536,Entire home/apt,183,1,19,2023-06-21,1.97,22,330,19,1098681
703944635050406050,Condo in Athina · ★5.0 · 2 bedrooms · 2 beds · 1 bath,477178455,Eleni,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98777032339935,23.758479880426044,Entire home/apt,57,1,26,2023-06-23,6.50,1,344,26,00001720597
704055468161502082,Condo in Athina · 1 bedroom · 1 bed · 1.5 shared baths,63903716,Theo,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98955198632808,23.7281771376729,Private room,30,2,2,2022-09-18,0.21,35,215,2,
704066172309813590,Condo in Athina · ★5.0 · Studio · 1 bed · 1 bath,394501992,John,,ΑΜΠΕΛΟΚΗΠΟΙ,37.985905537097366,23.75559728020536,Entire home/apt,69,1,8,2023-05-25,0.84,11,316,8,00001724270
704076806789012725,Condo in Athina · 3 bedrooms · 3 beds · 1.5 baths,63903716,Theo,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98961808946836,23.728250435581963,Entire home/apt,90,3,0,,,35,183,0,00001757851
704076881942686039,Condo in Athina · 1 bedroom · 1 bed · 1.5 baths,63903716,Theo,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.989643456368746,23.728234342327873,Private room,30,2,2,2022-09-28,0.21,35,194,2,
704076979480603116,Condo in Athina · ★4.75 · 1 bedroom · 1 bed · 1.5 shared baths,63903716,Theo,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98962231728573,23.728250435581963,Private room,30,2,4,2023-06-01,0.42,35,167,4,
704144415995555573,Condo in Athina · ★5.0 · 2 bedrooms · 2 beds · 1 bath,453128595,Victoria,,ΘΗΣΕΙΟ,37.97539,23.71428,Entire home/apt,103,2,8,2023-05-22,0.82,1,110,8,00001751690
704175225507566786,Hotel in Athina · ★5.0 · 1 bedroom · 1 bed · 1 private bath,477219528,Cohort,,ΝΕΟΣ ΚΟΣΜΟΣ,37.96513,23.72873,Private room,149,1,6,2023-05-12,1.82,4,344,6,1173869
704657831608496370,Rental unit in Athina · ★4.75 · 3 bedrooms · 3 beds · 2.5 baths,31290848,Nasos,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.9663521,23.7278217,Entire home/apt,189,2,36,2023-06-23,3.80,37,275,36,00001760603
